country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,manufacturing_site_idsum,manufacturing_site_idcount,manufacturing_site_idmean,manufacturing_site_packsum,manufacturing_site_packcount,manufacturing_site_packmean,manufacturing_site_quantitysum,manufacturing_site_quantitycount,manufacturing_site_quantitymean,manufacturing_site_valuesum,manufacturing_site_valuecount,manufacturing_site_valuemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_designationsum,manufacturing_site_designationcount,manufacturing_site_designationmean,manufacturing_site_usdsum,manufacturing_site_usdcount,manufacturing_site_usdmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean
Uganda,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Efavirenz,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Zambia,"Aurobindo Unit III, India",Aurobindo Pharma Limited,Lamivudine/Zidovudine,Generic,2006,96762,25,3870.48,2160,25,86.4,334157,25,13366.28,2999909.93,25,119996.3972,202.7,25,8.107999999999999,3.66,25,0.1464,12,25,0.48,1176.0,25,47.04,29812.978192193845,25,1192.5191276877538,1021128.6643504894,25,40845.14657401958
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Ethiopia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Guyana,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
